concept,strategy,mistake,domain1,answer
0,1,0,다항식,1
1,1,0,다항식,1
0,0,0,다항식,0
0,1,0,다항식,1
0,0,0,다항식,1
0,0,0,다항식,0
1,0,1,다항식,1
1,1,1,다항식,1
1,0,0,다항식,1
1,1,0,다항식,1
0,1,0,다항식,0
0,0,0,실수와 허수,1
0,1,0,실수와 허수,0
0,1,1,실수와 허수,0
0,0,1,실수와 허수,1
1,1,1,실수와 허수,1
0,1,0,실수와 허수,1
1,1,0,방정식과 부등식,1
0,0,0,방정식과 부등식,1
0,0,0,방정식과 부등식,1
1,0,0,방정식과 부등식,1
0,1,1,방정식과 부등식,1
0,1,0,방정식과 부등식,1
0,0,1,방정식과 부등식,0
0,1,0,방정식과 부등식,1
1,0,0,방정식과 부등식,0
1,1,0,방정식과 부등식,0
1,1,0,방정식과 부등식,0
0,1,1,방정식과 부등식,1
,,,방정식과 부등식,1
,,,방정식과 부등식,1
,,,방정식과 부등식,1
,,,방정식과 부등식,0
,,,방정식과 부등식,1
,,,방정식과 부등식,1
,,,방정식과 부등식,1
,,,방정식과 부등식,1
,,,방정식과 부등식,1
,,,방정식과 부등식,0
,,,방정식과 부등식,1
,,,방정식과 부등식,0
,,,도형의 방정식,1
,,,도형의 방정식,1
,,,도형의 방정식,1
,,,도형의 방정식,0
,,,도형의 방정식,0
,,,도형의 방정식,0
,,,도형의 방정식,0
,,,도형의 방정식,1
,,,도형의 방정식,0
,,,도형의 방정식,1
,,,도형의 방정식,0
,,,도형의 방정식,0
,,,도형의 방정식,1
,,,도형의 방정식,1
,,,도형의 방정식,1
,,,집합과 명제,1
,,,집합과 명제,1
,,,집합과 명제,0
,,,집합과 명제,1
,,,집합과 명제,1
,,,집합과 명제,0
,,,집합과 명제,1
,,,집합과 명제,1
,,,집합과 명제,0
,,,집합과 명제,0
,,,집합과 명제,0
,,,함수,1
,,,함수,1
,,,함수,1
,,,함수,1
,,,함수,1
,,,함수,0
,,,함수,1
,,,함수,1
,,,함수,1
,,,함수,1
,,,함수,1
,,,함수,0
,,,함수,0
,,,경우의 수,0
,,,경우의 수,1
,,,경우의 수,1
